country,urban_pop,life_expect,measles_1,measles_2,diphtheria_1,diphtheria_3,polio_1,polio_3
SLV,72.023,73.096,90,87,97,93,90,95
SMR,97.226,,82,81,93,86,,88
SOM,44.971,57.068,46,,52,42,,47
SRB,56.092,75.849,82,90,97,92,97,93
SSD,19.615,57.604,51,,58,45,34,45
STP,72.803,70.17,93,76,97,96,67,96
SUR,66.06,71.57,97,43,92,91,96,91
SVK,53.726,77.388,95,97,99,96,,96
SVN,54.541,81.172,92,93,98,94,,94
SWE,87.431,82.654,97,95,99,98,,98
SWZ,23.799,59.401,89,76,96,90,45,90
SYC,56.691,73.333,97,99,98,96,99,96
SYR,54.162,71.779,62,52,61,42,58,48
TCD,23.059,53.977,37,,55,41,41,44
TGO,41.702,60.76,87,,93,89,,89
THA,49.949,76.931,99,95,99,99,,99
TJK,27.134,70.879,97,97,98,96,,97
TKM,51.593,68.073,99,99,99,98,,98
TLS,30.578,69.26,74,30,86,79,48,79
TON,23.131,70.801,84,85,83,78,82,80
TTO,53.184,73.38,86,65,97,97,96,84
TUN,68.945,76.505,96,97,99,98,98,98
TUR,75.143,77.437,98,85,99,98,96,98
TUV,62.387,,96,92,99,94,,94
TZA,33.776,65.015,90,71,99,97,,93
UGA,23.774,62.973,79,,99,93,44,97
UKR,69.352,71.953,42,31,42,19,75,56
URY,95.334,77.77,95,92,97,95,,95
USA,82.256,78.851,92,94,98,95,,94
UZB,50.478,71.573,99,99,99,99,,99
VCT,52.198,72.415,99,99,99,99,99,99
VEN,88.208,72.128,88,53,97,84,68,82
VNM,35.919,75.317,99,95,96,96,,95
VUT,25.274,70.323,84,,93,81,50,81
WSM,18.243,73.187,68,44,95,80,94,77
YEM,36.642,66.096,70,49,76,71,61,65
ZAF,66.355,63.857,85,63,86,76,86,76
ZMB,43.521,63.51,93,58,99,91,,87
ZWE,32.209,61.195,95,63,94,90,,90
